"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Gross Rent","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mrent_acs","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","1069","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","1918","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","2120","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","2072","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85345","AZ","85345","=""85345""","1697","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","1560","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","1799","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","1395","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","2477","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85361","AZ","85361","=""85361""","791","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","1157","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","1968","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","1928","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","1678","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","1538","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","1514","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","2095","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","1762","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","1939","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","2355","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","2579","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","2155","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","1034","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","1848","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","2024","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","2243","2020-2024","2020","Census","Maricopa (County, 2022)"
