"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Home Value","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhv","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","274500","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","448200","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","447900","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","438300","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","661400","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","481000","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","459900","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","499200","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","418900","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","564800","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","482900","2020-2024","2020","Census","Maricopa (County, 2022)"
